Raw Roll, Raw Pitch, Raw Yar, Raw X, Raw Y, Raw Z, DMP Roll, DMP Pitch, DMP Yaw
-24.289139,-966.04724,-57.21039,693.82367,16201.596,69.87352,-1.590683,-0.04949951,0.09362793,
-24.755157,-966.04736,-57.265656,692.92035,16200.143,68.384384,-1.5904999,-0.04949951,0.09320068,
-25.136688,-966.04736,-57.309555,693.2071,16199.934,67.744,-1.5904083,-0.04949951,0.0927124,
-25.50998,-966.0475,-57.349075,694.165,16199.846,67.66754,-1.5904083,-0.04949951,0.0927124,
-25.92833,-966.0475,-57.38878,694.2273,16199.866,68.0986,-1.5902863,-0.04949951,0.092315674,
-26.304855,-966.0476,-57.421524,693.0836,16199.985,69.886215,-1.5902863,-0.04949951,0.092315674,
-26.712982,-966.05066,-57.460007,692.9541,16197.593,65.5965,-1.5901642,-0.049438477,0.09164429,
-27.075912,-966.0554,-57.496307,693.33746,16196.34,66.63458,-1.5899506,-0.04949951,0.09118652,
-27.46759,-966.0622,-57.536484,693.18256,16198.311,73.46741,-1.5898285,-0.049438477,0.09069824,
-27.909897,-966.0708,-57.585114,694.8428,16199.585,70.41916,-1.589798,-0.049438477,0.0904541,
-28.365341,-966.0786,-57.636368,696.63684,16200.531,65.87619,-1.589798,-0.049438477,0.09030151,
-28.845078,-966.0881,-57.687485,697.2517,16199.784,62.887283,-1.5898285,-0.049438477,0.09024048,
-29.349167,-966.09906,-57.73848,698.305,16197.912,59.99733,-1.5898285,-0.049438477,0.09024048,
-29.947449,-966.11096,-57.79654,698.75305,16197.526,58.696075,-1.58992,-0.049438477,0.09030151,
-30.51883,-966.1217,-57.8488,698.95636,16197.779,57.92485,-1.58992,-0.049438477,0.09030151,
-31.07254,-966.13135,-57.89888,699.13934,16197.807,57.830612,-1.5900116,-0.049438477,0.09033203,
-31.542267,-966.1411,-57.94388,698.70416,16196.832,55.646317,-1.5900421,-0.04949951,0.09030151,
-32.00743,-966.15234,-57.989365,698.4125,16193.755,51.680954,-1.5901642,-0.04949951,0.09033203,
